timestamp,slug,question,outcome,token_id,price,volume
2026-03-04 08:00:28+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-04 09:00:34+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-04 10:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 11:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-04 12:00:39+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 13:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 14:00:32+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 15:00:44+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 16:00:32+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 17:00:51+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 18:00:34+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 19:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 20:00:37+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 21:00:36+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 22:00:30+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-04 23:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-05 00:00:40+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-05 01:00:34+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 02:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 03:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 04:00:26+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 05:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 06:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 07:00:26+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 08:00:32+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 09:00:28+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 10:00:44+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 11:00:37+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.495,999.99
2026-03-05 12:00:54+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 13:00:30+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 14:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 15:00:40+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 16:00:27+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.495,999.99
2026-03-05 17:00:47+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.495,999.99
2026-03-05 18:00:34+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.495,999.99
2026-03-05 19:00:26+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.49,999.99
2026-03-05 20:00:51+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.495,999.99
2026-03-05 21:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 22:00:27+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-05 23:00:41+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 00:00:38+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 01:00:33+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 02:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 03:00:30+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 04:00:28+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-06 05:00:39+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 06:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 07:00:28+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 08:00:27+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 09:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-06 10:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-06 11:00:27+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 12:00:39+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 13:00:44+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 14:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.505,999.99
2026-03-06 15:00:47+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
2026-03-06 16:00:31+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.165,999.99
2026-03-06 17:00:30+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.12,999.99
2026-03-06 18:00:32+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.155,999.99
2026-03-06 19:00:29+00:00,2026-arnold-palmer-invitational-presented-by-mastercard-top10-viktor-hovland,Will Viktor Hovland finish in the Top 10 at the 2026 Arnold Palmer Invitational presented by Mastercard?,Yes,61577948837015552165499644335936396931257423598113567492172617089858185610488,0.5,999.99
